Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,"$97,500","$212,500",61%
2,Operations Research & Industrial Engineering,Bachelors,"$98,300","$191,800",21%
3,Interaction Design,Bachelors,"$74,700","$173,600",54%
4,Applied Economics and Management,Bachelors,"$76,500","$164,400",54%
5,Building Science,Bachelors,"$69,000","$163,100",47%
6,Actuarial Mathematics,Bachelors,"$70,700","$160,000",52%
6,Operations Research,Bachelors,"$92,200","$160,000",57%
8,Systems Engineering,Bachelors,"$87,000","$159,100",58%
9,Optical Science & Engineering,Bachelors,"$79,600","$158,300",73%
10,Information & Computer Science,Bachelors,"$76,000","$157,800",63%
11,Aeronautics & Astronautics,Bachelors,"$88,200","$156,900",56%
12,Aerospace Studies,Bachelors,"$62,600","$154,300",-
13,Pharmacy,Bachelors,"$69,400","$154,000",79%
14,Cognitive Science,Bachelors,"$78,000","$153,800",43%
15,Managerial Economics,Bachelors,"$74,700","$153,300",38%
16,Quantitative Economics,Bachelors,"$74,500","$152,700",43%
17,Econometrics,Bachelors,"$72,000","$152,100",35%
18,Foreign Affairs,Bachelors,"$62,900","$152,000",32%
19,Chemical Engineering,Bachelors,"$85,600","$151,800",55%
20,Public Accounting,Bachelors,"$69,700","$151,200",47%
21,Political Economy,Bachelors,"$73,100","$150,600",31%
22,Corporate Accounting & Finance,Bachelors,"$76,800","$149,600",50%
23,Actuarial Science,Bachelors,"$76,700","$149,000",42%
24,Computer Engineering (CE),Bachelors,"$89,100","$148,500",46%
25,Electrical Power Engineering,Bachelors,"$84,700","$148,300",72%
26,Computer Science (CS) & Engineering,Bachelors,"$90,500","$148,200",44%
27,Marine Transportation Management,Bachelors,"$78,700","$148,000",-
28,Marine Engineering,Bachelors,"$87,900","$147,500",57%
28,Operations & Information Systems Management,Bachelors,"$78,800","$147,500",24%
30,Electrical & Computer Engineering (ECE),Bachelors,"$88,100","$147,000",49%
31,Entrepreneurship & Marketing,Bachelors,"$63,200","$145,800",45%
32,Astronomy,Bachelors,"$75,300","$145,600",52%
33,Mechatronics,Bachelors,"$80,900","$144,300",46%
34,Computational & Applied Mathematics,Bachelors,"$85,700","$144,100",46%
35,Aeronautical Engineering,Bachelors,"$84,200","$143,400",63%
36,Welding Engineering,Bachelors,"$86,600","$143,300",-
37,Electrical Engineering (EE),Bachelors,"$84,900","$143,000",54%
38,Electrical & Electronics Engineering (EEE),Bachelors,"$83,900","$142,900",57%
39,Naval Architecture & Marine Engineering,Bachelors,"$82,800","$142,800",49%
40,Instrumentation & Control Engineering,Bachelors,"$82,800","$141,900",44%
41,Construction Engineering Management,Bachelors,"$78,100","$141,800",53%
42,Computer Science (CS) & Mathematics,Bachelors,"$80,300","$141,000",44%
43,Engineering Physics,Bachelors,"$78,600","$140,300",48%
44,Mechanical & Aeronautical Engineering,Bachelors,"$80,900","$139,900",62%
45,Chemical & Biomolecular Engineering,Bachelors,"$86,000","$139,700",51%
45,Computer Science (CS),Bachelors,"$85,400","$139,700",42%
47,Jazz Studies,Bachelors,"$60,000","$139,400",51%
48,Bioscience,Bachelors,"$59,900","$139,300",-
49,Information Management,Bachelors,"$67,000","$139,000",33%
50,Aerospace Engineering,Bachelors,"$83,500","$138,100",53%
51,Ocean Engineering (OE),Bachelors,"$78,500","$137,800",49%
51,Pharmacology,Bachelors,"$63,500","$137,800",-
53,Nuclear Engineering,Bachelors,"$85,200","$137,600",55%
54,Bioengineering (BioE),Bachelors,"$79,500","$137,300",67%
55,Applied Mathematics,Bachelors,"$77,200","$137,000",40%
56,Paper Science,Bachelors,"$84,900","$136,500",43%
56,Physician Assistant Studies,Bachelors,"$109,600","$136,500",83%
58,Materials Science,Bachelors,"$76,700","$136,200",-
59,Engineering,Bachelors,"$77,800","$135,800",58%
60,Industrial & Systems Engineering,Bachelors,"$82,000","$135,700",48%
61,Metallurgical Engineering,Bachelors,"$90,800","$135,500",63%
62,Materials Science & Engineering,Bachelors,"$81,200","$135,300",47%
63,Mining Engineering,Bachelors,"$87,400","$135,200",59%
64,Operations Management & Information Systems,Bachelors,"$75,900","$134,900",43%
